Organization Name,License #:,Jerusalem Connection,N-09-1330-12396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big 9 TOTAL,136,$136.00,0,$0.00,136,$136.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky 7 TOTAL,228,$228.00,0,$0.00,228,$228.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick 8 TOTAL,450,$450.00,0,$0.00,450,$450.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade Lucky Star,11,$11.00,0,$0.00,11,$11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade Triangle,8,$8.00,0,$0.00,8,$8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Total:,833,$833.00,0,$0.00,833,$833.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL (w/o Progressive):,2324,$833.00,0,$0.00,2324,$833.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Progressive ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,$0.00,0,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Total:,0,$0.00,0,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SALES:,2324,$833.00,0,$0.00,2324,$833.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less: Total Value Of Redeemed Points,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less: Total Value of Redeemed Coupons,$0.00,$0.00,$0.00,Less: Total Value of Excess Coupons,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less: Total Value of Redeemed Gift Certificates,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH VALUE OF SALES:,2324,$833.00,0,$0.00,2324,$833.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS Transaction Number Summary: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Transaction Number:,Date/Time:,Sale 1-0518904,7/26/2015  11:20:10 AM,Last Transaction Number:,Date/Time:,Sale 1-0519118,7/26/2015  12:57:58 PM,Total Txns: 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Bingo Supplier Fees:,Devices and Products,Qty Sold,Rate,Total Due,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPick'Em,814,$0.08,$65.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Total:,$65.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Total:,$65.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reloaded Transactions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voided Transactions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/0/1900  12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failed Transactions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/0/1900  12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS Coupons:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Value,Redeemed,Total,Voided,Total,Net,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,$0.00,0,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Coupons,0,$0.00,0,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS Gift Certificates:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Value,Redeemed,Total,Voided,Total,Net,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,$0.00,0,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Gift Certificates,0,$0.00,0,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPORT GRAND TOTALS,TOTAL SALES:,2324,$833.00,0,$0.00,2324,$833.00,Less: Total Value Of Redeemed Points,$0.00,$0.00,$0.00,Less: Total Value of Redeemed Coupons,$0.00,$0.00,$0.00,Less: Total Value of Excess Coupons,$0.00,$0.00,$0.00,Less: Total Value of Redeemed GCs,$0.00,$0.00,$0.00,TOTAL CASH VALUE OF SALES:,2324,$833.00,0,$0.00,2324,$833.00,Total Payouts,$0.00,$0.00,$0.00,TOTAL CASH:,2324,$833.00,0,$0.00,2324,$833.00
